idhh	idorighh	dwt	drgur	ils_origy	yem	yse	yiy	ypt	yprrt	poa	bun_s	tin_s	tscee_s	tscse_s	tscot_s	tscer_s	ils_dispy	bot_s	bfa02_s	bdioa_s	bchmt_s	ils_benmt	ils_bennt	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicdy	ils_pen
440	0	1	0	4380	4380	0	0	0	0	0	0	116,88	449,38	0	0	876	3813,74	0	0	0	0	0	0	0	0	116,88	116,88	1325,38	0
441	0	1	0	4390	4390	0	0	0	0	0	0	117,91	450,78	0	0	878	3821,31	0	0	0	0	0	0	0	0	117,91	117,91	1328,78	0
442	0	1	0	4400	4400	0	0	0	0	0	0	118,94	452,18	0	0	880	3828,88	0	0	0	0	0	0	0	0	118,94	118,94	1332,18	0
443	0	1	0	4410	4410	0	0	0	0	0	0	119,97	453,58	0	0	882	3836,45	0	0	0	0	0	0	0	0	119,97	119,97	1335,58	0
444	0	1	0	4420	4420	0	0	0	0	0	0	121,01	454,98	0	0	884	3844,02	0	0	0	0	0	0	0	0	121,01	121,01	1338,98	0
445	0	1	0	4430	4430	0	0	0	0	0	0	122,04	456,38	0	0	886	3851,58	0	0	0	0	0	0	0	0	122,04	122,04	1342,38	0
446	0	1	0	4440	4440	0	0	0	0	0	0	123,07	457,78	0	0	888	3859,15	0	0	0	0	0	0	0	0	123,07	123,07	1345,78	0
447	0	1	0	4450	4450	0	0	0	0	0	0	124,1	459,18	0	0	890	3866,72	0	0	0	0	0	0	0	0	124,1	124,1	1349,18	0
448	0	1	0	4460	4460	0	0	0	0	0	0	125,13	460,58	0	0	892	3874,29	0	0	0	0	0	0	0	0	125,13	125,13	1352,58	0
449	0	1	0	4470	4470	0	0	0	0	0	0	126,17	461,98	0	0	894	3881,86	0	0	0	0	0	0	0	0	126,17	126,17	1355,98	0
450	0	1	0	4480	4480	0	0	0	0	0	0	127,2	463,38	0	0	896	3889,42	0	0	0	0	0	0	0	0	127,2	127,2	1359,38	0
451	0	1	0	4490	4490	0	0	0	0	0	0	128,23	464,78	0	0	898	3896,99	0	0	0	0	0	0	0	0	128,23	128,23	1362,78	0
452	0	1	0	4500	4500	0	0	0	0	0	0	129,26	466,18	0	0	900	3904,56	0	0	0	0	0	0	0	0	129,26	129,26	1366,18	0
453	0	1	0	4510	4510	0	0	0	0	0	0	130,29	467,58	0	0	902	3912,13	0	0	0	0	0	0	0	0	130,29	130,29	1369,58	0
454	0	1	0	4520	4520	0	0	0	0	0	0	131,33	468,98	0	0	904	3919,7	0	0	0	0	0	0	0	0	131,33	131,33	1372,98	0
455	0	1	0	4530	4530	0	0	0	0	0	0	132,36	470,38	0	0	906	3927,26	0	0	0	0	0	0	0	0	132,36	132,36	1376,38	0
456	0	1	0	4540	4540	0	0	0	0	0	0	133,39	471,78	0	0	908	3934,83	0	0	0	0	0	0	0	0	133,39	133,39	1379,78	0
457	0	1	0	4550	4550	0	0	0	0	0	0	134,42	473,18	0	0	910	3942,4	0	0	0	0	0	0	0	0	134,42	134,42	1383,18	0
458	0	1	0	4560	4560	0	0	0	0	0	0	135,45	474,58	0	0	912	3949,97	0	0	0	0	0	0	0	0	135,45	135,45	1386,58	0
459	0	1	0	4570	4570	0	0	0	0	0	0	136,49	475,98	0	0	914	3957,54	0	0	0	0	0	0	0	0	136,49	136,49	1389,98	0
460	0	1	0	4580	4580	0	0	0	0	0	0	137,52	477,38	0	0	916	3965,1	0	0	0	0	0	0	0	0	137,52	137,52	1393,38	0
461	0	1	0	4590	4590	0	0	0	0	0	0	138,55	478,78	0	0	918	3972,67	0	0	0	0	0	0	0	0	138,55	138,55	1396,78	0
462	0	1	0	4600	4600	0	0	0	0	0	0	139,58	480,18	0	0	920	3980,24	0	0	0	0	0	0	0	0	139,58	139,58	1400,18	0
463	0	1	0	4610	4610	0	0	0	0	0	0	140,61	481,58	0	0	922	3987,81	0	0	0	0	0	0	0	0	140,61	140,61	1403,58	0
464	0	1	0	4620	4620	0	0	0	0	0	0	141,65	482,98	0	0	924	3995,38	0	0	0	0	0	0	0	0	141,65	141,65	1406,98	0
465	0	1	0	4630	4630	0	0	0	0	0	0	142,68	484,38	0	0	926	4002,94	0	0	0	0	0	0	0	0	142,68	142,68	1410,38	0
466	0	1	0	4640	4640	0	0	0	0	0	0	143,71	485,78	0	0	928	4010,51	0	0	0	0	0	0	0	0	143,71	143,71	1413,78	0
467	0	1	0	4650	4650	0	0	0	0	0	0	144,74	487,18	0	0	930	4018,08	0	0	0	0	0	0	0	0	144,74	144,74	1417,18	0
468	0	1	0	4660	4660	0	0	0	0	0	0	145,77	488,58	0	0	932	4025,65	0	0	0	0	0	0	0	0	145,77	145,77	1420,58	0
469	0	1	0	4670	4670	0	0	0	0	0	0	146,81	489,98	0	0	934	4033,22	0	0	0	0	0	0	0	0	146,81	146,81	1423,98	0
470	0	1	0	4680	4680	0	0	0	0	0	0	147,84	491,38	0	0	936	4040,78	0	0	0	0	0	0	0	0	147,84	147,84	1427,38	0
471	0	1	0	4690	4690	0	0	0	0	0	0	148,87	492,78	0	0	938	4048,35	0	0	0	0	0	0	0	0	148,87	148,87	1430,78	0
472	0	1	0	4700	4700	0	0	0	0	0	0	149,9	494,18	0	0	940	4055,92	0	0	0	0	0	0	0	0	149,9	149,9	1434,18	0
473	0	1	0	4710	4710	0	0	0	0	0	0	150,93	495,58	0	0	942	4063,49	0	0	0	0	0	0	0	0	150,93	150,93	1437,58	0
474	0	1	0	4720	4720	0	0	0	0	0	0	151,97	496,98	0	0	944	4071,06	0	0	0	0	0	0	0	0	151,97	151,97	1440,98	0
475	0	1	0	4730	4730	0	0	0	0	0	0	153	498,38	0	0	946	4078,62	0	0	0	0	0	0	0	0	153	153	1444,38	0
476	0	1	0	4740	4740	0	0	0	0	0	0	154,03	499,78	0	0	948	4086,19	0	0	0	0	0	0	0	0	154,03	154,03	1447,78	0
477	0	1	0	4750	4750	0	0	0	0	0	0	155,06	501,18	0	0	950	4093,76	0	0	0	0	0	0	0	0	155,06	155,06	1451,18	0
478	0	1	0	4760	4760	0	0	0	0	0	0	156,09	502,58	0	0	952	4101,33	0	0	0	0	0	0	0	0	156,09	156,09	1454,58	0
479	0	1	0	4770	4770	0	0	0	0	0	0	157,13	503,98	0	0	954	4108,9	0	0	0	0	0	0	0	0	157,13	157,13	1457,98	0
480	0	1	0	4780	4780	0	0	0	0	0	0	158,16	505,38	0	0	956	4116,46	0	0	0	0	0	0	0	0	158,16	158,16	1461,38	0
481	0	1	0	4790	4790	0	0	0	0	0	0	159,19	506,78	0	0	958	4124,03	0	0	0	0	0	0	0	0	159,19	159,19	1464,78	0
482	0	1	0	4800	4800	0	0	0	0	0	0	160,22	508,18	0	0	960	4131,6	0	0	0	0	0	0	0	0	160,22	160,22	1468,18	0
483	0	1	0	4810	4810	0	0	0	0	0	0	161,25	509,58	0	0	962	4139,17	0	0	0	0	0	0	0	0	161,25	161,25	1471,58	0
484	0	1	0	4820	4820	0	0	0	0	0	0	162,29	510,98	0	0	964	4146,74	0	0	0	0	0	0	0	0	162,29	162,29	1474,98	0
485	0	1	0	4830	4830	0	0	0	0	0	0	163,32	512,38	0	0	966	4154,3	0	0	0	0	0	0	0	0	163,32	163,32	1478,38	0
486	0	1	0	4840	4840	0	0	0	0	0	0	164,35	513,78	0	0	968	4161,87	0	0	0	0	0	0	0	0	164,35	164,35	1481,78	0
487	0	1	0	4850	4850	0	0	0	0	0	0	165,38	515,18	0	0	970	4169,44	0	0	0	0	0	0	0	0	165,38	165,38	1485,18	0
488	0	1	0	4860	4860	0	0	0	0	0	0	166,41	516,58	0	0	972	4177,01	0	0	0	0	0	0	0	0	166,41	166,41	1488,58	0
489	0	1	0	4870	4870	0	0	0	0	0	0	167,45	517,98	0	0	974	4184,58	0	0	0	0	0	0	0	0	167,45	167,45	1491,98	0
