idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse
164	442,55	5325,18	5574,66	-4	0	69,92	69,92	175,57	351,13	0
165	442,55	3851,84	4148,75	-1	0	88,47	88,47	207,44	414,88	0
166	442,55	1695,21	1790,17	-5	0	0	0	89,96	179,92	0
167	442,55	2082,19	2364,9	-3	0	0	0	17,66	35,32	262,04
168	442,55	1190,61	1254,33	-1	0	0	0	62,72	125,43	0
169	442,55	1504,49	1732,2	-2	0	0	0	0	0	225,71
170	442,55	897,08	946,56	-2	0	0	0	47,48	94,96	0
171	856,89	2343,68	2468,14	-1	0	0	0	123,46	246,91	0
172	856,89	1351,1	493,28	922,21	0	0	0	0	0	64,39
173	856,89	2640,78	1977,11	921,21	0	0	0	0	0	257,54
174	856,89	871,34	920,57	-3	0	0	0	46,23	92,46	0
175	856,89	2647,5	2789,05	-2	0	0	0	139,55	279,11	0
176	856,89	3153,99	3525,19	-5	0	0	0	58,03	116,06	308,18
177	421,08	1888,76	-12	1900,76	0	0	0	0	0	0
178	421,08	3125,03	2432,83	949,38	0	0	0	37,5	75	219,68
179	421,08	919,44	-4	923,44	0	0	0	0	0	0
180	421,08	1844,88	-4	1848,88	0	0	0	0	0	0
181	421,08	1880,05	1980,11	-1	0	0	0	99,06	198,11	0
182	421,08	316,72	348,33	-2	0	0	0	10,04	20,08	19,57
183	421,08	714,23	789,1	-3	0	0	0	19,6	39,21	52,26
184	421,08	933,99	-8	941,99	0	0	0	0	0	0
185	421,08	1118,04	1180,3	-3	0	0	0	59,27	118,53	0
186	633,26	1898,76	4,04	1896,03	0	0	0	0	0	1,3
187	633,26	456,74	529,33	-3	0	0	0	0	0	69,59
188	633,26	1531,36	1614,17	-2	0	0	0	80,81	161,62	0
189	633,26	2820,74	3076,24	-6	0	0	0	94,74	189,48	154,76
190	633,26	1219,08	1286,66	-3	0	0	0	64,58	129,17	0
191	633,26	2643,12	2981,4	-4	0	0	0	33,8	67,6	300,48
192	633,26	3337,65	3644,62	-4	0	0	0	107,26	214,52	195,71
193	591,82	933,46	-2	935,46	0	0	0	0	0	0
194	591,82	1558,31	1795,5	-3	0	0	0	0	0	234,2
195	591,82	1692,07	1768,14	-1	0	0	0	75,06	150,13	0
196	591,82	1984,66	2194,83	-4	0	0	0	50,04	100,08	156,13
197	591,82	2024,97	2333,35	-4	0	0	0	0	0	304,38
198	591,82	2273	2396	-3	0	0	0	120	240	0
199	591,82	1884,92	-4	1888,92	0	0	0	0	0	0
200	591,82	73,71	-4	77,71	0	0	0	0	0	0
201	591,82	1202,43	1292,44	-2	0	0	0	50,17	100,34	37,83
202	3699,46	2473,71	2607,33	-3	0	0	0	130,62	261,23	0
203	3699,46	1151	1215	-3	0	0	0	61	122	0
204	427,73	657,56	695,59	-3	0	0	0	35,03	70,06	0
205	427,73	4551,47	5014,12	-2	0	135,65	135,65	0	0	325
206	427,73	465,55	223,36	272,01	275,01	0	0	0	0	29,82
207	427,73	308,93	328,61	-3	0	0	0	16,68	33,36	0
208	427,73	2592,32	2733,28	-4	0	0	0	136,96	273,93	0
209	427,73	1193	-6	1199	0	0	0	0	0	0
210	427,73	749	793	-4	0	0	0	40	80	0
211	427,73	1370,5	1446	-3	0	0	0	72,5	145	0
212	427,73	1135	1197	-2	0	0	0	60	120	0
213	1038,2	2952,94	3138,82	-5	0	0	0	142,55	285,09	38,34
214	1038,2	926,4	-4	930,4	0	0	0	0	0	0
215	1038,2	2206,49	1474	925,15	0	0	0	0	0	192,66
216	1038,2	4375,75	4619,88	-4	0	8,98	8,98	231,14	462,29	0
217	1038,2	1286,67	1481,83	-2	0	0	0	0	0	193,16
218	1038,2	1798,14	-4	1802,14	0	0	0	0	0	0
219	475,11	1703,43	1796,5	-3	0	0	0	90,08	180,15	0
220	475,11	1907,59	2196,83	-3	0	0	0	0	0	286,24
221	475,11	855,78	988	-3	0	0	0	0	0	129,22
222	475,11	932,78	-4	936,78	0	0	0	0	0	0
223	475,11	4073,47	4495,75	-4	0	93,28	93,28	0	0	325
224	475,11	3691,8	2032	1925	0	0	0	0	0	265,2
225	475,11	1231,98	1421,72	-4	0	0	0	0	0	185,73
226	475,11	136	160,67	-3	0	0	0	0	0	21,67
227	475,11	1117,5	1244	-4	0	0	0	25	50	97,5
228	260,4	4768,61	5255,36	-4	0	45,38	45,38	112,37	224,74	325
229	260,4	941,12	-6	947,12	0	0	0	0	0	0
230	260,4	1350,33	1495,06	-3	0	0	0	33,22	66,44	108,51
231	260,4	4897,99	3476,12	1874,68	0	0	0	0	0	452,81
232	260,4	939,36	-2	941,36	0	0	0	0	0	0
233	260,4	-3	-2	-1	0	0	0	0	0	0
234	260,4	2325,1	1565,34	937,4	0	0	0	16,73	33,45	160,91
235	260,4	5923,75	5916,38	389,83	0	265,04	265,04	0	0	117,42
236	433,74	1323,11	-6	1329,11	0	0	0	0	0	0
237	433,74	14796,2	6698,59	11005,17	0	2572,28	2572,28	335,28	670,56	0
238	433,74	2422,08	2751,33	-4	0	0	0	0,25	0,5	325
239	433,74	8028,16	9003,51	-3	0	521,97	521,97	450,38	900,75	0
240	433,74	4628,72	2992	1906,59	0	0	0	75	150	194,87
241	433,74	3596,37	3945	-3	0	27,13	27,13	0	0	318,5
242	433,74	25110,58	33137,31	-3	0	7698,73	7698,73	0	0	325
243	812,32	4847,77	5285,41	-5	0	47,81	47,81	189,66	379,32	195,16
244	812,32	2690,15	1932	935	0	0	0	46,85	93,7	130
245	812,32	3364,43	-3	3399	0	31,57	31,57	0	0	0
246	812,32	1862,81	955,28	955,39	0	0	0	47,86	95,73	0
247	443,38	892,88	943,29	-3	0	0	0	47,41	94,83	0
248	443,38	1738,36	2001,01	-2	0	0	0	0	0	260,65
249	443,38	283,71	299,75	-1	0	0	0	15,04	30,08	0
250	443,38	942,99	-2	944,99	0	0	0	0	0	0
251	443,38	1871,05	1974,11	-4	0	0	0	99,06	198,11	0
252	514,67	1864,55	-4	1868,55	0	0	0	0	0	0
253	514,67	40,66	48,18	-1	0	0	0	0	0	6,52
254	514,67	13090,48	15034,98	-2	0	1292,5	1292,5	0	0	650
255	514,67	1236,4	1307,21	-5	0	0	0	65,81	131,62	0
256	514,67	5353,51	5992	-2	0	311,49	311,49	0	0	325
257	514,67	1402,03	1547,58	-4	0	0	0	37,6	75,2	103,95
258	514,67	3606,15	3800,47	-4	0	0	0	190,32	380,65	0
259	514,67	1062,68	146,7	935,57	0	0	0	0	0	19,59
260	514,67	1892,79	1121,84	917,57	0	0	0	0	0	146,62
261	676,67	6298,66	4689,83	1869,14	0	65,4	65,4	194,91	389,82	0
262	676,67	2551,6	2688	-2	0	0	0	134,4	268,8	0
