idhh	dwt	ils_dispy	ils_origy	ils_ben	ils_bensim	ils_tax	ils_taxsim	ils_sicee	ils_sicer	ils_sicse	ils_bennt
149	372,98	1872,15	-2	1874,15	2,01	0	0	0	0	0	2,01
150	372,98	1996,25	793,63	1306,57	675	0	0	0	0	103,95	375
151	564,11	1007,44	78,07	939,78	0	0	0	0	0	10,41	0
152	564,11	1978,48	1299,66	744	1350	0	0	65,18	130,37	0	750
153	564,11	2438,25	2573	-6	0	0	0	128,75	257,5	0	0
154	564,11	2315,26	2046,59	371	675	0	0	102,33	204,66	0	375
155	564,11	2795,73	2951,51	-8	0	0	0	147,78	295,55	0	0
156	511,89	2755,35	3064,4	-8	0	0	0	61,39	122,79	239,66	0
157	511,89	944,58	-4	948,58	0	0	0	0	0	0	0
158	511,89	1658,98	397,86	1313,36	675	0	0	0	0	52,24	375
159	511,89	2810,49	-4	2829,11	8,04	14,62	14,62	0	0	0	8,04
160	511,89	3427,2	2436,53	1113	2025	0	0	122,33	244,65	0	1125
161	511,89	4756,45	-6	5018,25	0	255,8	255,8	0	0	0	0
162	511,89	7276,13	6016,75	1598,8	0	38,34	38,34	301,09	602,18	0	0
163	442,55	1880,92	-4	1884,92	8,04	0	0	0	0	0	8,04
164	442,55	5321,18	5574,66	-8	0	69,92	69,92	175,57	351,13	0	0
165	442,55	3850,84	4148,75	-2	0	88,47	88,47	207,44	414,88	0	0
166	442,55	2065,21	1790,17	365	675	0	0	89,96	179,92	0	375
167	442,55	2079,19	2364,9	-6	0	0	0	17,66	35,32	262,04	0
168	442,55	1189,61	1254,33	-2	0	0	0	62,72	125,43	0	0
169	442,55	2252,49	1732,2	746	1350	0	0	0	0	225,71	750
170	442,55	1645,08	946,56	746	1350	0	0	47,48	94,96	0	750
171	856,89	2342,68	2468,14	-2	0	0	0	123,46	246,91	0	0
172	856,89	1350,1	493,28	921,21	0	0	0	0	0	64,39	0
173	856,89	3013,78	1977,11	1294,21	675	0	0	0	0	257,54	375
174	856,89	1243,34	920,57	369	675	0	0	46,23	92,46	0	375
175	856,89	2645,5	2789,05	-4	0	0	0	139,55	279,11	0	0
176	856,89	3148,99	3525,19	-10	0	0	0	58,03	116,06	308,18	0
177	421,08	2257,76	-12	2269,76	675	0	0	0	0	0	375
178	421,08	3121,03	2432,83	945,38	0	0	0	37,5	75	219,68	0
179	421,08	1842,88	-4	1846,88	0	0	0	0	0	0	0
180	421,08	1850,92	-4	1854,92	8,04	0	0	0	0	0	8,04
181	421,08	2254,05	1980,11	373	675	0	0	99,06	198,11	0	375
182	421,08	689,72	348,33	371	675	0	0	10,04	20,08	19,57	375
183	421,08	1461,23	789,1	744	1350	0	0	19,6	39,21	52,26	750
184	421,08	2087,15	-8	2095,15	2057,16	0	0	0	0	0	1157,16
185	421,08	1490,04	1180,3	369	675	0	0	59,27	118,53	0	375
186	633,26	2270,76	4,04	2268,03	675	0	0	0	0	1,3	375
187	633,26	1203,74	529,33	744	1350	0	0	0	0	69,59	750
188	633,26	1529,36	1614,17	-4	0	0	0	80,81	161,62	0	0
189	633,26	2814,74	3076,24	-12	0	0	0	94,74	189,48	154,76	0
190	633,26	1216,08	1286,66	-6	0	0	0	64,58	129,17	0	0
191	633,26	2639,12	2981,4	-8	0	0	0	33,8	67,6	300,48	0
192	633,26	3333,65	3644,62	-8	0	0	0	107,26	214,52	195,71	0
193	591,82	934,47	-2	936,47	2,01	0	0	0	0	0	2,01
194	591,82	2680,31	1795,5	1119	2025	0	0	0	0	234,2	1125
195	591,82	1691,07	1768,14	-2	0	0	0	75,06	150,13	0	0
196	591,82	2730,66	2194,83	742	1350	0	0	50,04	100,08	156,13	750
197	591,82	3145,97	2333,35	1117	2025	0	0	0	0	304,38	1125
198	591,82	3020	2396	744	1350	0	0	120	240	0	750
199	591,82	1890,96	-4	1894,96	8,04	0	0	0	0	0	8,04
200	591,82	71,71	-4	75,71	0	0	0	0	0	0	0
201	591,82	1200,43	1292,44	-4	0	0	0	50,17	100,34	37,83	0
202	3699,46	2845,71	2607,33	369	675	0	0	130,62	261,23	0	375
203	3699,46	1148	1215	-6	0	0	0	61	122	0	0
204	427,73	1404,56	695,59	744	1350	0	0	35,03	70,06	0	750
205	427,73	4549,47	5014,12	-4	0	135,65	135,65	0	0	325	0
206	427,73	1068,55	223,36	875,01	1481,01	0	0	0	0	29,82	881,01
207	427,73	1055,93	328,61	744	1350	0	0	16,68	33,36	0	750
208	427,73	2588,32	2733,28	-8	0	0	0	136,96	273,93	0	0
